month,year,know_auto_pct,phys_auto_pct,unemployment_rate,total_pop_m,employed_m,unemployed_m,total_income_bn,total_consumption_bn,total_human_svc_bn,total_auto_goods_bn,total_wealth_bn,total_debt_bn,aggregate_mpc,human_svc_share,gini,enterprise_revenue_bn,yeomen_share,platform_share,yeomen_alive_pct,firms_alive,firms_dead,mpc_transitional,mpc_knowledge_high_exposure,mpc_creative_craft,mpc_physical_high_exposure,mpc_knowledge_low_exposure,mpc_small_business_owner,mpc_non_labour,mpc_skilled_physical,mpc_care_low_exposure
40,2029.3333333333333,32.52563766688738,5.00090146268667,0.21944024877831986,117.05200000000039,91.36608000000041,25.68591999999998,5.665261244066399,5.026655452608072,0.8152035927596415,4.21145185984843,31.7819539408136,1.9700354405082556,0.8872769032271581,0.16217614285392776,0.4256039421206961,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8926066064529454,0.8270909243869604,0.852845050926912,0.8707511062623267,0.8172120536378569,0.8038372211100341,0.9853554249916837,0.8202070020612644,0.8530567309630668
41,2029.4166666666667,33.49368860816646,5.156149771425622,0.21968902709906613,117.05200000000039,91.33696000000042,25.715039999999973,5.663060160237264,5.024829197869277,0.8127984112162367,4.212030786653041,31.793584363319226,1.9383232032322517,0.8872992791336959,0.16175642578276989,0.4257300788063083,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8927628127240512,0.827337992638404,0.8532190929619675,0.8703193913068269,0.8175528989591945,0.8038719176115428,0.9852995821929458,0.8199822647496993,0.8529033028610381
42,2029.5,34.467597279509064,5.314272663790324,0.22139493558418397,117.05200000000039,91.1372800000004,25.91471999999999,5.65555315873968,5.017880485476814,0.8099220740300985,4.207958411446708,31.806123744707914,1.9074085462140957,0.8872483989868519,0.16140720696203215,0.4263257354135639,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8932918707900656,0.8275042374763195,0.8535196255152462,0.8698583925983043,0.8178209529417546,0.8040339709272888,0.9846556209360416,0.8203093101599261,0.8531991401106768
43,2029.5833333333333,35.44656451028182,5.475306476062223,0.22235450910706267,117.05200000000039,91.0249600000004,26.027039999999985,5.6424514017898595,5.006908242299047,0.8055045112890725,4.20140373100997,31.819111568301086,1.8769658628960502,0.887363999397636,0.16087862455398325,0.425961982999009,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8934285454905886,0.8276604920497639,0.8534534418756275,0.8690143085809896,0.8181241021461239,0.8042322114167559,0.9845702145931574,0.8203925278727898,0.8534025665477971
44,2029.6666666666667,36.42977398839723,5.639287280699346,0.2230564193691684,117.05200000000039,90.9428000000004,26.109199999999987,5.6408812153129615,5.00562541160325,0.803308221912454,4.202317189690803,31.832914271264812,1.8472104242407568,0.8873835878718347,0.16048108994539456,0.42617660898362353,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8935673452488537,0.8277937623211398,0.8538005781897652,0.8686507485383047,0.8186872382354287,0.8044433486291549,0.9844998484973884,0.8200129409590556,0.8534890925401156
45,2029.75,37.416394923059414,5.8062508487198095,0.22573078631719126,117.05200000000039,90.62976000000043,26.42223999999996,5.621098486660832,4.988922520483994,0.7983320948026587,4.19059042568132,31.847167189380514,1.8180136964177211,0.887535155685846,0.16002094470795858,0.4260231681809513,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8944506859694318,0.8279201260872942,0.8536631661354638,0.8681331285470494,0.819585350820557,0.8049314916583046,0.9837306231609221,0.8202885366478728,0.8535264709145255
46,2029.8333333333333,38.405584811804175,5.976232610852666,0.22647712127943018,117.05200000000039,90.54240000000044,26.50959999999995,5.616222064856776,4.984619343111186,0.7956966811728257,4.188922661938361,31.861861249085912,1.7891605042654029,0.8875395747440593,0.15963038025611517,0.42651953946632126,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8945879915021236,0.8282831014639371,0.8543318167728935,0.8664959502726483,0.8198923030736698,0.8059741043340721,0.9836630107011766,0.8200357045616135,0.8538657776767179
47,2029.9166666666667,39.39649229257842,6.1492676174602146,0.22754331408262882,117.05200000000039,90.41760000000043,26.634399999999957,5.60871305549547,4.976097321796302,0.7923979341332806,4.1836993876630215,31.87752354532723,1.7610474602293806,0.8872083974630641,0.15924084335377026,0.4265717128255355,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8947278230863415,0.8281253471520316,0.8542989160049149,0.8642660699909376,0.8201831418791427,0.8065160084053766,0.9829222441815051,0.8203887519415178,0.8539411295952607
48,2030.0,40.38826006054846,6.325390497238797,0.22828964904486773,117.05200000000039,90.33024000000044,26.721759999999946,5.6017381448785315,4.971043316268728,0.7894268865673584,4.181616429701384,31.893935114103126,1.7337035938599092,0.8874108692162941,0.15880507095639293,0.4267889755815949,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8952503872887821,0.8291726100011055,0.853466454766697,0.8633618271303801,0.8201676949201435,0.8065689182770618,0.9828598839927141,0.8207563782643681,0.8540810532947454
49,2030.0833333333333,41.380027828518486,6.504635414708275,0.22961350510883907,117.05200000000039,90.17528000000047,26.87671999999992,5.59368366213929,4.962370934386416,0.7862991912294467,4.176071743156969,31.91074712913021,1.7065722782158559,0.8871382856299334,0.15845232080109917,0.4272975027770707,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8953723229686857,0.8293478854166607,0.8524339145012229,0.8619728312046024,0.8204466288240493,0.807531531139727,0.9827707317460777,0.8177149552386496,0.8543880601506513
